product_ic,product_n_category,brand,price,sales_volu,click_thro,customer_,conversion,popularity,product_description
P35,Apparel,Zara,967.91,4724,0.18,784,0.05,702,"A wool jeans from Zara, for 967.91."
P36,Grocery,Unilever,214.17,3931,0.02,381,0.04,688,"organic cereal from Unilever, at the price of 214.17."
P37,Grocery,Nestle,944.92,3153,0.41,964,0.03,694,"organic cereal from Nestle, at the price of 944.92."
P38,Beauty,Revlon,467.98,444,0.43,346,0.08,1477,"A matte cream from Revlon, priced at 467.98."
P39,Home & Kitchen,Prestige,340.32,2463,0.44,889,0.05,1339,"A unbreakable container from Prestige, priced 340.32."
P40,Grocery,Unilever,1014.76,4581,0.49,933,0.13,703,"gluten-free quinoa flour from Unilever, at the price of 1014.76."
P41,Home & Kitchen,Philips,401.23,4999,0.26,372,0.05,1310,"A easy to use blender from Philips, priced 401.23."
P42,Apparel,H&M,1225.01,2295,0.44,136,0.17,145,"A wool jacket from H&M, for 1225.01."
P43,Beauty,L'Oreal,1957.1,3508,0.25,547,0.08,158,"A matte cream from L'Oreal, priced at 1957.1."
P44,Home & Kitchen,Bosch,1158.76,1823,0.05,367,0.06,904,"A long-lasting table from Bosch, priced 1158.76."
P45,Beauty,Clinique,1975.74,4710,0.44,231,0.09,1709,"A for dry skin foundation from Clinique, priced at 1975.74."
P46,Sports,Under Armour,1295.47,1518,0.26,258,0.15,498,"A moisture-wicking running shoes by Under Armour, ideal for matches. price is 1295.47."
P47,Beauty,Revlon,1656.48,4788,0.21,69,0.04,1673,"A long-lasting cream from Revlon, priced at 1656.48."
P48,Apparel,Levi's,1425.51,2642,0.32,203,0.16,436,"A denim dress from Levi's, for 1425.51."
P49,Grocery,OrganicCh,1905.59,565,0.08,263,0.18,280,"organic quinoa flour from OrganicCh, at the price of 1905.59."
P50,Grocery,General Mills,943.05,1748,0.41,420,0.19,1764,"organic oats from General Mills, at the price of 943.05."
P51,Electronics,HP,1225.23,4089,0.06,76,0.14,1199,"A portable headphones from HP, selling at 1225.23."
P52,Apparel,H&M,235.39,3803,0.33,350,0.08,786,"A linen jeans from H&M, for 235.39."
P53,Sports,Puma,845.41,4168,0.29,458,0.16,838,"A durable running shoes by Puma, ideal for matches. price is 845.41."
P54,Apparel,Tommy Hilfiger,1742.59,2298,0.11,922,0.09,1794,"A Polyester dress from Tommy Hilfiger, for 1742.59."
P55,Electronics,Lenovo,1689.24,4427,0.42,939,0.01,1995,"A portable monitor from Lenovo, selling at 1689.24."
P56,Grocery,Nestle,202.2,2668,0.1,794,0.03,964,"vitamin-rich cereal from Nestle, at the price of 202.2."
P57,Apparel,GAP,1071.46,4661,0.35,571,0.07,1585,"A linen jacket from GAP, for 1071.46."
P58,Apparel,Tommy Hilfiger,184.55,1119,0.3,940,0.09,1937,"A Polyester jeans from Tommy Hilfiger, for 184.55."
P59,Electronics,HP,1758.04,4496,0.35,787,0.2,119,"A high-quality headphones from HP, selling at 1758.04."
P60,Home & Kitchen,IKEA,1084.95,3266,0.31,627,0.19,103,"A eco-friendly table from IKEA, priced 1084.95."
P61,Home & Kitchen,Bosch,494.83,4771,0.25,478,0.02,618,"A easy to use table from Bosch, priced 494.83."
P62,Electronics,HP,44.56,1277,0.2,148,0.02,1575,"A portable laptop from HP, selling at 44.56."
P63,Grocery,Nestle,1069.03,2374,0.39,89,0.1,524,"gluten-free oats from Nestle, at the price of 1069.03."
P64,Sports,Puma,1534.6,3340,0.17,916,0.11,1791,"A lightweight running shoes by Puma, ideal for workouts. price is 1534.6."
P65,Home & Kitchen,Philips,1106.36,2455,0.17,149,0.05,682,"A durable blender from Philips, priced 1106.36."
P66,Apparel,Zara,1379.77,2382,0.49,199,0.12,282,"A cotton dress from Zara, for 1379.77."
P67,Beauty,Maybelline,986.43,2901,0.3,650,0.15,815,"A long-lasting foundation from Maybelline, priced at 986.43."
P68,Sports,Nike,1819.56,3855,0.12,728,0.09,959,"A breathable running shoes by Nike, ideal for matches. price is 1819.56."
P69,Grocery,Unilever,1679.75,2777,0.48,294,0.1,147,"organic cereal from Unilever, at the price of 1679.75."
P70,Sports,Nike,1287.05,465,0.41,637,0.07,1707,"A athlete shoes by Nike, ideal for training. price is 1287.05."
P71,Home & Kitchen,Philips,505.65,2586,0.44,838,0.08,709,"A non-stick table from Philips, priced 505.65."
P72,Home & Kitchen,Philips,1003.41,700,0.28,886,0.02,1044,"A non-stick blender from Philips, priced 1003.41."
P73,Apparel,H&M,1770.09,3871,0.19,652,0.05,319,"A silk jeans from H&M, for 1770.09."
P74,Grocery,Unilever,1958.05,1389,0.45,670,0.13,771,"rich in protein cereal from Unilever, at the price of 1958.05."
P75,Beauty,Clinique,707.11,4142,0.42,467,0.08,1639,"A hydrating serum from Clinique, priced at 707.11."
P76,Home & Kitchen,Prestige,1782.27,4037,0.43,351,0.07,1246,"A durable blender from Prestige, priced 1782.27."
P77,Grocery,Kellogg's,1123.35,1437,0.2,155,0.14,1831,"gluten-free oats from Kellogg's, at the price of 1123.35."
P78,Electronics,Apple,1590.6,1864,0.42,354,0.05,1062,"A high-quality laptop from Apple, selling at 1590.6."
P79,Electronics,HP,1310.07,4416,0.29,800,0.08,1645,"A noise-cancelling headphones from HP, selling at 1310.07."
P80,Beauty,Clinique,34.97,4075,0.39,956,0.04,390,"A matte foundation from Clinique, priced at 34.97."
P81,Grocery,General Mills,280.44,307,0.14,663,0.16,1523,"organic oats from General Mills, at the price of 280.44."
P82,Electronics,HP,1107.58,1249,0.35,667,0.08,1840,"A wireless monitor from HP, selling at 1107.58."
P83,Electronics,Sony,386.28,2816,0.09,876,0.19,1439,"A portable monitor from Sony, selling at 386.28."
P84,Home & Kitchen,Tupperware,974.03,459,0.34,454,0.16,305,"A unbreakable container from Tupperware, priced 974.03."
P85,Sports,Puma,1674.33,2849,0.04,96,0.17,886,"A gym hoodie by Puma, ideal for workouts. price is 1674.33."
P86,Sports,Puma,1340.23,3970,0.16,377,0.14,1018,"A moisture-wicking sports jersey by Puma, ideal for matches. price is 1340.23."
P87,Beauty,Estee Lauder,667.21,3062,0.2,570,0.17,1248,"A hydrating cream from Estee Lauder, priced at 667.21."
P88,Grocery,OrganicCh,243.12,3957,0.34,236,0.14,436,"gluten-free quinoa flour from OrganicCh, at the price of 243.12."
P89,Grocery,Nestle,38.14,1849,0.23,895,0.16,1671,"low-sugar quinoa flour from Nestle, at the price of 38.14."
P90,Sports,Adidas,463.3,4024,0.16,575,0.18,192,"A moisture-wicking leggings by Adidas, ideal for training. price is 463.3."
P91,Grocery,General Mills,324.28,2857,0.3,932,0.05,1697,"gluten-free cereal from General Mills, at the price of 324.28."
P92,Electronics,Dell,410.96,4751,0.02,782,0.05,1978,"A high-quality headphones from Dell, selling at 410.96."
P93,Grocery,General Mills,1931.18,4405,0.36,295,0.01,666,"low-sugar cereal from General Mills, at the price of 1931.18."
P94,Electronics,Lenovo,1162.71,3365,0.43,461,0.1,1006,"A high-quality headphones from Lenovo, selling at 1162.71."
P95,Apparel,Tommy Hilfiger,1146.27,387,0.25,113,0.08,1863,"A Polyester T-shirt from Tommy Hilfiger, for 1146.27."
P96,Home & Kitchen,Tupperware,722.19,2408,0.27,176,0.13,1857,"A non-stick container from Tupperware, priced 722.19."
P97,Sports,Nike,926.54,4974,0.43,90,0.11,1688,"A athlete hoodie by Nike, ideal for workouts. price is 926.54."
P98,Electronics,Sony,1686.04,410,0.02,145,0.17,1883,"A high-speed monitor from Sony, selling at 1686.04."
P99,Electronics,Sony,1266.3,493,0.32,360,0.17,1238,"A large memory SSD from Sony, selling at 1266.3."
P100,Beauty,L'Oreal,1754.62,2731,0.37,409,0.16,715,"A matte cream from L'Oreal, priced at 1754.62."
P101,Sports,Under Armour,1397.78,4675,0.04,890,0.09,1101,"A athlete hiking shoes by Under Armour, ideal for matches. price is 1397.78."
P102,Apparel,Zara,986.13,378,0.07,898,0.04,152,"A linen T-shirt from Zara, for 986.13."
P103,Grocery,General Mills,224.91,4490,0.06,544,0.14,118,"organic quinoa flour from General Mills, at the price of 224.91."
P104,Electronics,Lenovo,1574.2,4232,0.1,284,0.03,550,"A cheap headphones from Lenovo, selling at 1574.2."
P105,Beauty,Estee Lauder,1436.42,4813,0.22,740,0.04,1440,"A matte foundation from Estee Lauder, priced at 1436.42."
P106,Grocery,OrganicCh,1099.05,969,0.29,233,0.04,1012,"vitamin-rich cereal from OrganicCh, at the price of 1099.05."
P107,Beauty,Revlon,1089.07,911,0.28,650,0.02,1365,"A oil-free serum from Revlon, priced at 1089.07."
P108,Home & Kitchen,Philips,1215.93,2387,0.17,530,0.14,1665,"A unbreakable table from Philips, priced 1215.93."
P109,Electronics,Dell,1098.4,361,0.01,783,0.03,715,"A cheap headphones from Dell, selling at 1098.4."
P110,Apparel,GAP,1889.22,3236,0.04,503,0.04,227,"A linen jacket from GAP, for 1889.22."
P111,Grocery,Nestle,1381.8,4457,0.42,934,0.09,516,"rich in protein oats from Nestle, at the price of 1381.8."
P112,Electronics,Lenovo,1541.18,1501,0.23,887,0.15,953,"A compact headphones from Lenovo, selling at 1541.18."
P113,Grocery,Kellogg's,1126.82,862,0.28,165,0.04,272,"healthy cereal from Kellogg's, at the price of 1126.82."
P114,Beauty,L'Oreal,1994.13,438,0.49,422,0.02,229,"A hydrating foundation from L'Oreal, priced at 1994.13."
P115,Sports,Adidas,32.7,760,0.07,939,0.14,390,"A moisture-wicking shoes by Adidas, ideal for training. price is 32.7."
P116,Grocery,Unilever,159.95,2480,0.41,818,0.12,1348,"low-sugar cereal from Unilever, at the price of 159.95."
P117,Sports,Adidas,1397.03,2010,0.4,812,0.19,1548,"A gym leggings by Adidas, ideal for workouts. price is 1397.03."
P118,Beauty,L'Oreal,658.02,169,0.18,296,0.15,1319,"A hydrating lipstick from L'Oreal, priced at 658.02."
P119,Home & Kitchen,Prestige,1213.7,4835,0.14,205,0.04,150,"A energy-efficient container from Prestige, priced 1213.7."
P120,Apparel,GAP,1254.07,2799,0.17,571,0.08,567,"A silk jeans from GAP, for 1254.07."
P121,Apparel,Zara,945.14,4984,0.08,826,0.15,866,"A linen jacket from Zara, for 945.14."
P122,Sports,Nike,1234.96,1608,0.14,756,0.2,1114,"A lightweight leggings by Nike, ideal for workouts. price is 1234.96."
P123,Grocery,Unilever,1377.01,3141,0.23,641,0.05,1269,"rich in protein cereal from Unilever, at the price of 1377.01."
P124,Beauty,Revlon,798.98,2979,0.45,434,0.15,943,"A oil-free foundation from Revlon, priced at 798.98."
P125,Home & Kitchen,Philips,263.59,4492,0.09,643,0.06,1160,"A long-lasting container from Philips, priced 263.59."
P126,Grocery,General Mills,450.41,3461,0.38,247,0.01,744,"vitamin-rich oats from General Mills, at the price of 450.41."
P127,Electronics,Samsung,495.01,970,0.37,521,0.18,1761,"A large memory laptop from Samsung, selling at 495.01."
P128,Grocery,General Mills,461.78,4412,0.22,725,0.05,1297,"gluten-free oats from General Mills, at the price of 461.78."
P129,Beauty,L'Oreal,1409.53,1993,0.42,504,0.19,1225,"A long-lasting foundation from L'Oreal, priced at 1409.53."
P130,Apparel,Levi's,1607.51,3515,0.05,103,0.19,1570,"A denim dress from Levi's, for 1607.51."
P131,Grocery,Unilever,810.73,3613,0.03,69,0.15,1925,"organic oats from Unilever, at the price of 810.73."
P132,Home & Kitchen,Philips,1367.65,371,0.07,485,0.14,1873,"A long-lasting table from Philips, priced 1367.65."
P133,Sports,Adidas,1103.65,1955,0.15,820,0.19,1671,"A breathable hoodie by Adidas, ideal for workouts. price is 1103.65."
P134,Sports,Wilson,1146.9,4649,0.3,528,0.17,1373,"A moisture-wicking hoodie by Wilson, ideal for training. price is 1146.9."
P135,Beauty,Revlon,1613.25,508,0.36,467,0.16,1440,"A SPF serum from Revlon, priced at 1613.25."
P136,Electronics,Apple,1114.71,880,0.27,978,0.15,1320,"A high-speed monitor from Apple, selling at 1114.71."
P137,Electronics,Apple,140.72,3130,0.21,618,0.12,167,"A noise-cancelling SSD from Apple, selling at 140.72."
P138,Grocery,Unilever,1021.08,2543,0.35,948,0.05,1833,"rich in protein quinoa flour from Unilever, at the price of 1021.08."
P139,Apparel,Levi's,1902.21,3247,0.03,998,0.19,1709,"A linen dress from Levi's, for 1902.21."
P140,Sports,Adidas,1736.62,4321,0.27,109,0.16,381,"A lightweight hiking shoes by Adidas, ideal for matches. price is 1736.62."
P141,Beauty,Estee Lauder,455.85,3777,0.42,252,0.01,1534,"A SPF cream from Estee Lauder, priced at 455.85."
P142,Apparel,Zara,285.47,1438,0.47,44,0.19,937,"A silk dress from Zara, for 285.47."
P143,Electronics,Apple,469.15,1111,0.2,945,0.1,1886,"A high-quality laptop from Apple, selling at 469.15."
P144,Beauty,L'Oreal,443.68,3926,0.27,219,0.03,680,"A SPF serum from L'Oreal, priced at 443.68."
P145,Sports,Nike,945.09,2680,0.26,662,0.04,1529,"A lightweight leggings by Nike, ideal for matches. price is 945.09."
P146,Sports,Puma,1188.91,4659,0.04,547,0.09,1686,"A athlete shoes by Puma, ideal for training. price is 1188.91."
P147,Apparel,Zara,668.8,1603,0.32,499,0.13,921,"A wool jeans from Zara, for 668.8."
P148,Apparel,Tommy Hilfiger,1972.25,1349,0.48,638,0.07,838,"A cotton jeans from Tommy Hilfiger, for 1972.25."
P149,Grocery,Kellogg's,42.19,3902,0.24,384,0.17,1210,"gluten-free quinoa flour from Kellogg's, at the price of 42.19."
P150,Home & Kitchen,Prestige,1304.6,3332,0.18,472,0.03,1741,"A durable table from Prestige, priced 1304.6."
P151,Apparel,Tommy Hilfiger,350.96,3426,0.06,756,0.07,1167,"A denim T-shirt from Tommy Hilfiger, for 350.96."
P152,Home & Kitchen,Prestige,517.34,4760,0.39,206,0.05,307,"A unbreakable table from Prestige, priced 517.34."
P153,Electronics,Samsung,1191.11,130,0.13,486,0.19,1976,"A high-quality monitor from Samsung, selling at 1191.11."
P154,Home & Kitchen,Prestige,1976.96,4496,0.14,673,0.04,613,"A eco-friendly blender from Prestige, priced 1976.96."
P155,Home & Kitchen,Philips,459.93,547,0.05,346,0.18,750,"A long-lasting blender from Philips, priced 459.93."
P156,Electronics,Apple,539.49,4841,0.32,632,0.05,1984,"A portable SSD from Apple, selling at 539.49."
P157,Electronics,Samsung,1793.98,1355,0.39,565,0.15,1129,"A noise-cancelling laptop from Samsung, selling at 1793.98."
P158,Electronics,HP,740.37,1256,0.2,978,0.02,1742,"A large memory laptop from HP, selling at 740.37."
P159,Apparel,H&M,1258.94,1929,0.08,499,0.07,918,"A silk jeans from H&M, for 1258.94."
P160,Home & Kitchen,Bosch,948.13,1777,0.15,30,0.15,144,"A unbreakable container from Bosch, priced 948.13."
P161,Sports,Puma,1986.74,1897,0.23,469,0.08,1689,"A durable sports jersey by Puma, ideal for training. price is 1986.74."
P162,Electronics,Samsung,431.52,4616,0.18,909,0.06,1443,"A compact headphones from Samsung, selling at 431.52."
P163,Sports,Under Armour,971.67,3078,0.39,819,0.19,641,"A durable leggings by Under Armour, ideal for workouts. price is 971.67."
P164,Apparel,Zara,1123.78,481,0.17,572,0.12,1057,"A cotton T-shirt from Zara, for 1123.78."
P165,Home & Kitchen,Tupperware,1780.46,3234,0.5,290,0.05,1205,"A unbreakable blender from Tupperware, priced 1780.46."
P166,Apparel,Gap,1492.44,4411,0.48,83,0.07,321,"A linen dress from Gap, for 1492.44."
P167,Beauty,Estee Lauder,1626.66,4281,0.39,692,0.02,1334,"A oil-free serum from Estee Lauder, priced at 1626.66."
P168,Grocery,General Mills,429.01,4132,0.35,681,0.03,1531,"healthy oats from General Mills, at the price of 429.01."
P169,Sports,Puma,1731.4,3605,0.23,775,0.08,638,"A athlete hiking shoes by Puma, ideal for matches. price is 1731.4."
P170,Electronics,Sony,886.97,3840,0.28,457,0.02,1347,"A cheap monitor from Sony, selling at 886.97."
P171,Home & Kitchen,Tupperware,372.89,3456,0.06,237,0.16,1595,"A energy-efficient table from Tupperware, priced 372.89."
P172,Sports,Puma,381.88,1890,0.43,64,0.12,532,"A moisture-wicking hiking shoes by Puma, ideal for training. price is 381.88."
P173,Grocery,OrganicCh,1189.8,582,0.05,784,0.09,512,"vegan cereal from OrganicCh, at the price of 1189.8."
P174,Electronics,Samsung,488.13,562,0.37,470,0.05,214,"A cheap laptop from Samsung, selling at 488.13."
P175,Sports,Puma,1623.9,935,0.47,267,0.14,1155,"A gym hoodie by Puma, ideal for training. price is 1623.9."
P176,Apparel,Levi's,1821.59,4498,0.29,333,0.04,465,"A silk dress from Levi's, for 1821.59."
P177,Home & Kitchen,Tupperware,888.48,3061,0.05,69,0.13,1550,"A energy-efficient pan from Tupperware, priced 888.48."
P178,Electronics,Samsung,1552.56,1852,0.41,12,0.02,1673,"A cheap headphones from Samsung, selling at 1552.56."
P179,Home & Kitchen,Bosch,348.15,954,0.08,195,0.06,1021,"A energy-efficient table from Bosch, priced 348.15."
P180,Grocery,Kellogg's,735.04,2777,0.01,140,0.14,907,"organic quinoa flour from Kellogg's, at the price of 735.04."
P181,Sports,Nike,1040.22,302,0.31,909,0.12,722,"A breathable running shoes by Nike, ideal for matches. price is 1040.22."
P182,Sports,Wilson,475.25,3920,0.08,167,0.03,1414,"A gym shoes by Wilson, ideal for workouts. price is 475.25."
P183,Electronics,Dell,1313.73,817,0.48,556,0.12,1869,"A portable monitor from Dell, selling at 1313.73."
P184,Apparel,H&M,1000.91,4140,0.43,655,0.07,1740,"A cotton jacket from H&M, for 1000.91."
P185,Grocery,OrganicCh,1449.42,3252,0.41,974,0.12,1829,"vegan quinoa flour from OrganicCh, at the price of 1449.42."
P186,Sports,Wilson,1267.55,662,0.35,101,0.13,705,"A moisture-wicking hiking shoes by Wilson, ideal for training. price is 1267.55."
P187,Home & Kitchen,Philips,264.06,4610,0.14,554,0.06,818,"A unbreakable pan from Philips, priced 264.06."
P188,Home & Kitchen,IKEA,472.68,4335,0.42,963,0.17,573,"A eco-friendly container from IKEA, priced 472.68."
P189,Electronics,Lenovo,743.89,1766,0.29,832,0.08,1823,"A noise-cancelling laptop from Lenovo, selling at 743.89."
P190,Home & Kitchen,Bosch,1887.12,2400,0.32,761,0.07,1585,"A energy-efficient pan from Bosch, priced 1887.12."
P191,Grocery,Unilever,1093.43,1109,0.19,850,0.13,1415,"vitamin-rich cereal from Unilever, at the price of 1093.43."
P192,Electronics,Lenovo,1747.5,3883,0.05,957,0.01,328,"A cheap headphones from Lenovo, selling at 1747.5."
P193,Home & Kitchen,Tupperware,1932.1,428,0.08,441,0.06,768,"A eco-friendly container from Tupperware, priced 1932.1."
P194,Home & Kitchen,Tupperware,1975.76,1896,0.28,915,0.07,765,"A long-lasting table from Tupperware, priced 1975.76."
P195,Apparel,H&M,443.65,2964,0.38,638,0.14,1992,"A Polyester dress from H&M, for 443.65."
P196,Electronics,Apple,780.76,2608,0.39,304,0.13,1419,"A wireless laptop from Apple, selling at 780.76."
P197,Electronics,HP,1117.45,1652,0.41,338,0.13,1994,"A compact monitor from HP, selling at 1117.45."
P198,Electronics,Samsung,1571.34,2578,0.19,73,0.07,1384,"A wireless monitor from Samsung, selling at 1571.34."
P199,Electronics,Dell,214.63,2087,0.37,741,0.02,1413,"A noise-cancelling headphones from Dell, selling at 214.63."
P200,Beauty,Revlon,1686.1,2059,0.02,797,0.17,382,"A anti-aging lipstick from Revlon, priced at 1686.1."
P201,Home & Kitchen,Bosch,437.46,4352,0.1,696,0.19,431,"A easy to use blender from Bosch, priced 437.46."
P202,Sports,Adidas,455.7,1083,0.29,48,0.17,355,"A athlete running shoes by Adidas, ideal for workouts. price is 455.7."
P203,Home & Kitchen,Bosch,988.53,804,0.44,790,0.09,169,"A non-stick pan from Bosch, priced 988.53."
P204,Home & Kitchen,IKEA,1659.53,2276,0.38,478,0.19,1227,"A long-lasting pan from IKEA, priced 1659.53."
P205,Electronics,Apple,379.32,3198,0.08,317,0.14,358,"A compact SSD from Apple, selling at 379.32."
P206,Home & Kitchen,IKEA,911.17,971,0.11,724,0.04,577,"A energy-efficient blender from IKEA, priced 911.17."
P207,Electronics,HP,1678.56,811,0.25,106,0.04,952,"A high-quality monitor from HP, selling at 1678.56."
P208,Apparel,Tommy Hilfiger,339.06,4737,0.13,983,0.12,667,"A cotton dress from Tommy Hilfiger, for 339.06."
P209,Home & Kitchen,Tupperware,764.42,614,0.27,592,0.2,1561,"A non-stick table from Tupperware, priced 764.42."
P210,Beauty,Maybelline,1989.37,2920,0.19,481,0.01,1963,"A SPF foundation from Maybelline, priced at 1989.37."
P211,Apparel,Tommy Hilfiger,439.05,2437,0.46,349,0.17,566,"A Polyester dress from Tommy Hilfiger, for 439.05."
P212,Apparel,Levi's,494.73,1606,0.47,676,0.02,363,"A silk jeans from Levi's, for 494.73."
P213,Home & Kitchen,Bosch,327.83,799,0.34,610,0.12,447,"A durable blender from Bosch, priced 327.83."
P214,Grocery,Kellogg's,1236.76,4088,0.38,827,0.01,298,"vitamin-rich oats from Kellogg's, at the price of 1236.76."
P215,Home & Kitchen,IKEA,447.56,1674,0.11,842,0.08,1629,"A easy to use pan from IKEA, priced 447.56."
P216,Electronics,Sony,726.64,2162,0.41,271,0.11,111,"A high-quality monitor from Sony, selling at 726.64."
P217,Sports,Adidas,308.82,4699,0.18,629,0.12,146,"A gym leggings by Adidas, ideal for workouts. price is 308.82."
P218,Beauty,Revlon,1142.32,1375,0.11,782,0.09,1435,"A dewy cream from Revlon, priced at 1142.32."
P219,Electronics,HP,112.78,2226,0.05,668,0.2,349,"A high-quality headphones from HP, selling at 112.78."
P220,Apparel,Gap,1163.96,1426,0.15,541,0.02,1956,"A cotton jacket from Gap, for 1163.96."
P221,Apparel,Tommy Hilfiger,1106.03,2600,0.18,842,0.15,1447,"A Polyester jeans from Tommy Hilfiger, for 1106.03."
P222,Grocery,Nestle,1914.92,913,0.3,77,0.2,518,"low-sugar quinoa flour from Nestle, at the price of 1914.92."
P223,Apparel,Tommy Hilfiger,1114.6,2878,0.28,369,0.08,1972,"A denim jeans from Tommy Hilfiger, for 1114.6."
P224,Sports,Under Armour,1233.3,4575,0.34,41,0.02,1386,"A durable shoes by Under Armour, ideal for training. price is 1233.3."
P225,Home & Kitchen,Bosch,951.7,2753,0.21,261,0.08,1539,"A energy-efficient blender from Bosch, priced 951.7."
P226,Electronics,Apple,1470.2,1975,0.1,279,0.04,1712,"A high-quality laptop from Apple, selling at 1470.2."
P227,Grocery,General Mills,145.1,2317,0.04,172,0.05,1327,"organic oats from General Mills, at the price of 145.1."
P228,Apparel,Gap,353.1,1620,0.03,817,0.02,174,"A cotton jacket from Gap, for 353.1."
P229,Sports,Wilson,198.79,3233,0.11,465,0.18,571,"A breathable running shoes by Wilson, ideal for training. price is 198.79."
P230,Sports,Wilson,1292.04,2642,0.41,248,0.03,1037,"A gym leggings by Wilson, ideal for training. price is 1292.04."
P231,Grocery,Kellogg's,854.32,3643,0.19,782,0.03,448,"vegan oats from Kellogg's, at the price of 854.32."
P232,Sports,Under Armour,105.9,1132,0.37,801,0.16,1044,"A breathable leggings by Under Armour, ideal for training. price is 105.9."
P233,Beauty,Clinique,1105.31,3979,0.12,787,0.19,892,"A SPF cream from Clinique, priced at 1105.31."
P234,Grocery,General Mills,1945.19,4249,0.12,68,0.15,724,"vegan oats from General Mills, at the price of 1945.19."
P235,Home & Kitchen,Tupperware,1798.92,4276,0.15,428,0.06,1787,"A eco-friendly blender from Tupperware, priced 1798.92."
P236,Home & Kitchen,Prestige,1907.55,945,0.24,895,0.19,1162,"A durable pan from Prestige, priced 1907.55."
P237,Sports,Nike,678.14,3911,0.22,822,0.19,1179,"A moisture-wicking leggings by Nike, ideal for workouts. price is 678.14."
